#t	x0	y0	x1	y1
0.716932	999.969666	399.971497	1093.164673	483.650757
0.718015	999.969788	399.971497	1092.802612	483.674347
0.719097	999.969910	399.971497	1092.440186	483.697144
0.720178	999.970032	399.971497	1092.077515	483.719177
0.721257	999.970154	399.971497	1091.714478	483.740417
0.722334	999.970276	399.971497	1091.351074	483.760864
0.723410	999.970398	399.971497	1090.987305	483.780518
0.724485	999.970520	399.971497	1090.623291	483.799377
0.725558	999.970642	399.971497	1090.258911	483.817444
0.726630	999.970764	399.971497	1089.894165	483.834717
0.727700	999.970886	399.971497	1089.529053	483.851196
0.728769	999.971008	399.971497	1089.163696	483.866882
0.729836	999.971130	399.971497	1088.797974	483.881744
0.730902	999.971252	399.971497	1088.431885	483.895813
0.731967	999.971375	399.971497	1088.065552	483.909088
0.733030	999.971497	399.971497	1087.698853	483.921539
0.734091	999.971619	399.971497	1087.331787	483.933197
0.735151	999.971741	399.971497	1086.964478	483.944031
0.736210	999.971863	399.971497	1086.596802	483.954041
0.737267	999.971985	399.971497	1086.228882	483.963257
0.738322	999.972107	399.971497	1085.860596	483.971649
0.739376	999.972229	399.971497	1085.491943	483.979218
0.740429	999.972351	399.971497	1085.123047	483.985962
0.741480	999.972473	399.971497	1084.753784	483.991882
0.742530	999.972595	399.971497	1084.384277	483.996979
0.743578	999.972717	399.971497	1084.014404	484.001251
0.744625	999.972839	399.971497	1083.644287	484.004700
0.745670	999.972961	399.971497	1083.273804	484.007324
